time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.018456,0.0528,0.0493,0.1575,0.173
1.023512,-0.0189,0.0356,0.1038,0.111
1.028519,-0.0472,-0.0065,0.0270,0.055
1.033926,-0.0895,-0.0149,0.0177,0.092
1.039128,-0.0935,-0.0278,0.0042,0.098
1.044523,-0.0832,-0.0074,-0.0089,0.084
1.048841,-0.0587,-0.0016,-0.0028,0.059
1.055632,-0.0297,-0.0007,0.0222,0.037
1.059352,-0.0104,-0.0000,0.0186,0.021
1.064159,-0.0103,-0.0281,-0.0087,0.031
1.069178,-0.0434,-0.0370,-0.1115,0.125
1.074868,-0.0525,-0.0270,-0.1940,0.203
1.079609,0.0050,-0.0315,-0.1663,0.169
1.084355,0.0430,-0.0550,-0.1244,0.143
1.090919,0.0997,-0.0497,-0.0831,0.139
1.094654,0.0561,0.0126,0.0433,0.072
1.099458,0.0462,0.0364,0.1349,0.147
1.104355,0.0458,0.0601,0.1632,0.180
1.114470,0.0407,0.0408,0.1525,0.163
1.115128,-0.0024,0.0359,0.1130,0.119
1.119460,-0.0356,0.0168,0.0782,0.088
1.125657,-0.0496,-0.0069,0.0200,0.054
1.131281,-0.0587,-0.0303,-0.0423,0.078
1.135091,-0.0772,-0.0108,-0.1277,0.150
1.141375,-0.0433,-0.0200,-0.2262,0.231
1.145700,-0.0002,-0.0244,-0.2430,0.244
1.151822,0.0426,-0.0525,-0.2260,0.236
1.154199,0.0375,-0.0232,-0.1947,0.200
1.159286,0.0135,0.0152,-0.1777,0.179
1.164990,0.0419,-0.0085,-0.1464,0.153
1.171794,0.0558,-0.0417,-0.0818,0.107
1.178983,0.0269,-0.0461,-0.0176,0.056
1.181444,-0.0303,-0.0174,-0.0345,0.049
1.191068,-0.0396,-0.0176,-0.0226,0.049
1.191635,-0.0392,-0.0370,0.0130,0.055
1.194543,-0.0198,-0.0324,0.0197,0.043
1.199792,-0.0006,-0.0326,0.0218,0.039
1.204864,0.0421,-0.0612,0.0097,0.075
1.214061,0.0703,-0.0467,0.0119,0.085
1.214706,0.0128,-0.0181,-0.0097,0.024
1.218864,-0.0681,0.0057,-0.0978,0.119
1.224308,-0.1150,0.0150,-0.1804,0.214
1.229982,-0.1378,0.0291,-0.1438,0.201
1.234148,-0.1461,0.0430,-0.1171,0.192
1.239439,-0.1449,0.0566,-0.1573,0.221
1.244315,-0.1342,0.0652,-0.1259,0.195
1.250856,-0.1188,0.1022,-0.1372,0.208
1.255584,-0.0655,0.0865,-0.1391,0.176
1.259074,-0.0222,0.0566,-0.1834,0.193
1.264012,-0.0505,0.0602,-0.2652,0.277
1.270814,-0.0833,0.1158,-0.2891,0.322
1.274937,-0.1111,0.0995,-0.2558,0.296
1.279648,-0.0484,0.0642,-0.2371,0.250
1.284928,-0.0195,0.0527,-0.2421,0.249
1.290726,-0.0146,0.0983,-0.2324,0.253
1.294957,-0.0192,0.1101,-0.1180,0.163
1.299498,-0.0381,0.1122,-0.0094,0.119
1.306259,-0.0520,0.1330,0.0316,0.146
1.311080,0.0054,0.1109,0.1241,0.167
1.314613,0.0624,0.0604,0.1962,0.215
1.319640,0.0333,0.0438,0.1960,0.204
1.325002,0.0473,0.0654,0.2286,0.242
1.331502,0.0706,0.0014,0.2323,0.243
1.334925,0.1175,-0.0285,0.2598,0.287
1.339615,0.1450,-0.0578,0.2065,0.259
1.345466,0.1343,-0.0247,0.1300,0.189
1.352276,0.1237,-0.0248,0.0447,0.134
1.354923,0.1084,-0.0247,-0.0351,0.117
1.360491,0.0838,-0.0198,-0.1093,0.139
1.365903,0.0546,-0.0195,-0.1590,0.169
1.373651,0.0161,0.0093,-0.1983,0.199
1.376141,0.0113,0.0188,-0.1850,0.186
1.380039,-0.0458,0.0474,-0.1999,0.210
1.385600,-0.1262,0.0707,-0.2522,0.291
1.392153,-0.1869,0.1079,-0.2989,0.369
1.394204,-0.2138,0.1063,-0.1643,0.290
1.400702,-0.2216,0.1140,-0.0306,0.251
1.406108,-0.1865,0.1261,0.0594,0.233
1.411391,-0.1469,0.1282,0.1389,0.239
1.416621,-0.0697,0.1063,0.2036,0.240
1.419217,0.0021,0.0748,0.2249,0.237
1.424783,0.0448,0.0339,0.2554,0.262
1.431425,0.0872,0.0172,0.2474,0.263
1.434470,0.0959,-0.0279,0.2536,0.273
1.439302,0.1331,-0.0534,0.2590,0.296
1.444370,0.0892,-0.0547,0.1831,0.211
1.450147,0.0076,-0.0133,0.0694,0.071
1.453866,-0.0352,-0.0103,-0.0909,0.098
1.459871,0.0410,-0.0500,-0.1691,0.181
1.465361,0.0502,-0.0560,-0.1942,0.208
1.469755,0.0782,-0.0615,-0.2001,0.223
1.474260,0.1061,-0.0430,-0.1394,0.180
1.480012,0.0529,0.0135,-0.1173,0.129
1.486024,0.0097,0.0743,-0.1430,0.161
1.490745,0.0286,0.0632,-0.0829,0.108
1.495986,-0.0002,0.0523,-0.0090,0.053
1.500489,0.0141,0.0464,0.0596,0.077
1.505718,-0.0146,0.0644,0.0422,0.078
1.510468,-0.0287,0.0537,0.0060,0.061
1.525157,-0.0190,0.0479,0.0270,0.058
1.525720,-0.0094,0.0187,0.0239,0.032
1.526064,-0.0330,0.0231,0.0302,0.050
1.530591,-0.0375,0.0276,0.0410,0.062
1.535014,-0.0420,0.0511,-0.0005,0.066
1.541434,-0.0416,0.0601,-0.1037,0.127
1.545361,-0.0745,0.0548,-0.1632,0.188
1.551098,-0.1072,0.0447,-0.2273,0.255
1.556420,-0.1253,0.0582,-0.2483,0.284
1.560069,-0.1243,0.0478,-0.2358,0.271
1.565296,-0.1375,0.0373,-0.1946,0.241
1.570654,-0.1316,0.0362,-0.1773,0.224
