time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.122069,-0.1703,-1.5489,-1.2173,1.977
1.138391,-0.2667,-1.2507,-1.0115,1.630
1.139367,-0.4253,-0.8678,-0.7790,1.241
1.139902,-0.4946,-0.6025,-0.5031,0.928
1.140536,-0.4283,-0.6449,-0.2102,0.802
1.145442,-0.5560,-0.5813,-0.1107,0.812
1.149969,-0.8135,-0.5333,-0.2284,0.999
1.154315,-0.7446,-0.7112,-0.3862,1.100
1.165643,-0.4449,-1.1719,-0.5170,1.356
1.166811,-0.3596,-1.3650,-0.6281,1.545
1.169039,-0.4933,-1.2497,-0.6285,1.483
1.173448,-0.7216,-1.0055,-0.5544,1.356
1.184096,-0.9561,-0.8073,-0.3029,1.287
1.184823,-1.1919,-0.8197,-0.1374,1.453
1.188041,-1.2708,-1.1447,-0.0793,1.712
1.194580,-1.5421,-1.0241,-0.2719,1.871
1.197255,-1.8124,-0.6425,-0.3752,1.959
1.202534,-1.8628,-0.4022,-0.3728,1.942
1.206943,-1.7548,-0.4395,-0.4393,1.862
1.211484,-1.5931,-0.6031,-0.5437,1.788
1.216435,-1.5491,-0.7735,-0.6668,1.855
1.222184,-1.5322,-0.7931,-0.6676,1.850
1.226788,-1.5127,-0.7556,-0.5772,1.787
1.230602,-1.4057,-0.7018,-0.5777,1.674
1.235211,-1.1743,-0.6129,-0.4749,1.407
1.240301,-0.9247,-0.5968,-0.4724,1.198
1.245076,-0.7406,-0.5505,-0.5484,1.073
1.250504,-0.5961,-0.5599,-0.6264,1.030
1.254648,-0.5516,-0.5485,-0.6034,0.984
1.269814,-0.5699,-0.5952,-0.5347,0.982
1.271004,-0.6296,-0.6109,-0.6020,1.064
1.271566,-0.6418,-0.6022,-0.8342,1.213
1.273798,-0.6854,-0.5163,-0.9297,1.265
1.291557,-0.7335,-0.5494,-1.0680,1.407
1.293502,-0.8672,-0.5575,-1.1680,1.558
1.295018,-1.0533,-0.6122,-1.1556,1.679
1.295785,-1.1717,-0.5797,-1.2437,1.804
1.297101,-1.0930,-0.6154,-1.3534,1.845
1.301839,-0.9103,-0.5369,-1.3748,1.734
1.306495,-0.5898,-0.3705,-1.4396,1.599
1.311035,-0.2862,-0.1615,-1.5336,1.568
1.315678,-0.0324,0.0185,-1.5421,1.543
1.320791,0.1257,0.1309,-1.4220,1.434
1.325608,0.1995,0.1391,-1.1875,1.212
1.330518,0.2097,0.0904,-0.9965,1.022
1.334790,0.2182,0.0587,-0.9229,0.950
1.339423,0.2273,-0.0660,-0.9379,0.967
1.344145,0.2299,-0.0348,-1.0270,1.053
1.348735,0.2335,-0.1370,-1.1280,1.160
1.353450,0.2280,-0.2123,-1.0927,1.136
1.363877,0.1603,-0.1293,-1.0217,1.042
1.364851,0.0854,-0.0050,-0.9556,0.959
1.368491,-0.0018,0.0913,-0.9496,0.954
1.379146,-0.1338,0.1744,-1.0205,1.044
1.380339,-0.2042,0.2277,-1.1611,1.201
1.382473,-0.2840,0.2680,-1.2828,1.341
1.386628,-0.3328,0.2860,-1.2710,1.345
1.391620,-0.3843,0.3200,-1.1976,1.298
1.396054,-0.3566,0.2862,-1.1009,1.192
1.400889,-0.3316,0.1192,-0.7894,0.864
1.405704,-0.2565,-0.0807,-0.2200,0.347
1.410528,-0.1774,-0.1512,0.4420,0.500
1.415012,-0.2232,-0.1981,0.8763,0.926
1.420013,-0.2995,-0.2244,1.2650,1.319
1.424548,-0.2015,-0.2999,1.4793,1.523
1.429350,-0.0778,-0.3906,1.5217,1.573
1.433902,0.1322,-0.4128,1.3134,1.383
1.438496,0.3364,-0.4332,0.9384,1.087
1.444276,0.4792,-0.4922,0.5211,0.862
1.448627,0.6127,-0.5633,0.0687,0.835
1.453002,0.6978,-0.5625,-0.3759,0.972
1.458429,0.7333,-0.5420,-0.7434,1.176
1.462491,0.7320,-0.4061,-1.1489,1.422
1.466978,0.7185,-0.2644,-1.5376,1.718
1.472602,0.7027,-0.0274,-2.0055,2.125
1.481218,0.7542,0.2072,-2.3829,2.508
1.482562,0.7729,0.2988,-2.6319,2.759
1.486404,0.7878,0.2696,-2.9874,3.101
1.496523,0.8511,0.1874,-3.1479,3.266
1.497623,0.8858,0.1313,-3.2049,3.328
1.500480,0.9268,0.0490,-3.1393,3.274
1.504890,0.9950,-0.1434,-2.8984,3.068
1.510456,1.0513,-0.2958,-2.5182,2.745
1.515012,1.0351,-0.3440,-2.1278,2.391
1.519800,0.9436,-0.4370,-1.7483,2.034
1.526887,0.7694,-0.5443,-1.4034,1.691
1.528993,0.5441,-0.5515,-1.1982,1.427
1.533716,0.2036,-0.5095,-1.0319,1.169
1.538494,-0.1040,-0.3932,-0.7389,0.843
1.543826,-0.3716,-0.2920,-0.3718,0.601
1.547801,-0.6307,-0.3239,0.0266,0.709
1.552628,-0.9024,-0.4054,0.2938,1.032
1.560398,-1.1764,-0.3693,0.3678,1.287
1.562583,-1.2293,-0.3284,0.4281,1.343
1.567125,-1.1977,-0.2377,0.6877,1.401
1.572339,-1.0744,-0.2602,0.8643,1.403
1.577969,-0.9546,-0.3378,0.8526,1.324
1.580657,-0.8642,-0.3647,0.7625,1.209
1.586001,-0.6690,-0.4171,0.6944,1.051
1.596499,-0.4859,-0.4944,0.5717,0.899
1.597487,-0.3269,-0.5678,0.4564,0.798
1.600291,-0.1057,-0.6658,0.4178,0.793
1.604482,0.0683,-0.6566,0.3410,0.743
1.613133,0.1429,-0.7170,0.2546,0.774
1.614372,0.2708,-0.7706,0.3834,0.902
1.619065,0.2599,-0.6931,0.2993,0.798
1.625434,1.2419,-1.2687,1.5122,2.332
1.628588,1.1684,-0.9922,1.7489,2.326
1.633512,0.1458,-0.8477,0.6270,1.064
1.643800,-0.6716,-0.8487,-0.1233,1.089
1.644571,-1.0481,-0.7769,-0.1009,1.309
1.647492,-1.0951,-0.5939,0.3706,1.300
1.651975,-0.8901,-0.3594,0.8651,1.292
1.658583,-0.6195,-0.1570,1.1769,1.339
1.661411,-0.4197,-0.0586,1.2275,1.299
1.666499,-0.3085,-0.0981,1.1296,1.175
1.676498,-0.3041,-0.1205,1.0126,1.064
1.677309,-0.1903,-0.1480,0.9319,0.963
1.680324,-0.1415,-0.3144,0.7940,0.866
1.685085,-0.1174,-0.3922,0.7089,0.819
1.696271,-0.0895,-0.4793,0.6167,0.786
1.697039,-0.0936,-0.4634,0.4482,0.651
1.699379,-0.1407,-0.4455,0.2131,0.513
1.715406,-0.1535,-0.4187,0.0502,0.449
1.716236,-0.1151,-0.4625,-0.0715,0.482
1.716732,-0.1093,-0.3930,-0.1640,0.440
1.718206,-0.1387,-0.3827,-0.2199,0.463
1.723543,-0.0768,-0.4412,-0.3183,0.549
1.727775,0.1006,-0.5278,-0.4399,0.694
1.732609,0.3123,-0.7882,-0.5202,0.995
1.741266,0.6499,-0.9977,-0.5735,1.322
1.742318,0.8749,-1.1944,-0.6526,1.618
1.746733,0.9924,-1.1942,-0.6115,1.669
1.752114,0.9770,-1.1041,-0.6730,1.621
1.757665,0.8602,-0.8921,-0.7655,1.457
1.760757,0.6951,-0.5649,-0.8150,1.211
1.765829,0.6393,-0.1462,-0.8002,1.035
1.771684,0.6582,0.2875,-0.6183,0.948
1.775385,0.6450,0.7678,-0.3437,1.060
1.779682,0.4279,1.2231,-0.0268,1.296
1.784798,-0.0205,1.4311,0.2438,1.452
1.792130,-0.4734,1.3667,0.2821,1.474
1.794370,-0.7966,1.0194,0.0912,1.297
1.798813,-1.1571,0.6210,-0.2185,1.331
1.806655,-1.3878,0.2679,-0.3459,1.455
1.808173,-1.4735,0.0471,-0.2413,1.494
