time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.521556,0.0785,0.0018,0.0142,0.080
2.528043,0.0682,-0.0078,0.0093,0.069
2.532270,0.0722,-0.0124,0.0045,0.073
2.536835,0.0714,-0.0122,-0.0050,0.073
2.546626,0.0755,-0.0074,0.0093,0.076
2.547299,0.0746,-0.0216,-0.0098,0.078
2.552928,0.0834,-0.0071,0.0046,0.084
2.557827,0.0730,-0.0071,-0.0050,0.074
2.562239,0.0723,-0.0119,-0.0049,0.073
2.566797,0.0716,-0.0071,-0.0001,0.072
2.573114,0.0614,-0.0214,-0.0001,0.065
2.578234,0.0656,-0.0166,-0.0001,0.068
2.582227,0.0650,-0.0167,-0.0001,0.067
2.586629,0.0644,-0.0120,0.0142,0.067
2.594020,0.0637,-0.0169,0.0236,0.070
2.596920,0.0631,-0.0122,0.0091,0.065
2.602908,0.0528,0.0068,0.0091,0.054
2.606579,0.0617,-0.0220,0.0280,0.071
2.611571,0.0610,-0.0124,0.0183,0.065
2.616663,0.0412,-0.0315,0.0134,0.054
2.621594,0.0407,-0.0124,0.0181,0.046
2.626291,0.0543,-0.0172,0.0085,0.058
2.631039,0.0440,-0.0220,0.0084,0.050
2.635848,0.0527,-0.0171,0.0036,0.056
2.643051,0.0520,-0.0219,-0.0059,0.057
2.646834,0.0417,-0.0170,-0.0201,0.049
2.653619,0.0648,-0.0075,-0.0151,0.067
2.656926,0.0688,-0.0217,-0.0292,0.078
2.661408,0.0728,-0.0263,-0.0385,0.086
2.666984,0.0770,-0.0308,-0.0429,0.093
2.671855,0.0765,-0.0211,-0.0473,0.092
2.678482,0.0760,-0.0210,-0.0469,0.092
2.682529,0.0758,-0.0350,-0.0323,0.090
2.687677,0.0757,-0.0204,-0.0416,0.089
2.694991,0.0851,-0.0155,-0.0270,0.091
2.698307,0.0708,-0.0059,-0.0126,0.072
2.703713,0.0710,-0.0059,-0.0125,0.072
2.706333,0.0666,-0.0107,-0.0077,0.068
2.710915,0.0621,-0.0059,-0.0077,0.063
2.717190,0.0578,-0.0059,0.0113,0.059
2.721932,0.0535,-0.0012,0.0064,0.054
2.726497,0.0539,0.0034,0.0110,0.055
2.731820,0.0497,-0.0063,0.0109,0.051
2.736807,0.0500,0.0079,0.0107,0.052
2.741935,0.0599,-0.0066,0.0106,0.061
2.747618,0.0651,0.0172,0.0057,0.068
2.751585,0.0700,0.0028,0.0009,0.070
