time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.050081,0.0987,0.0272,0.6954,0.703
1.054633,0.1031,0.0662,0.7042,0.715
1.055919,0.1073,0.0765,0.6935,0.706
1.061141,0.1401,0.0491,0.7250,0.740
1.066762,0.1535,0.0554,0.8171,0.833
1.071329,0.0812,0.0663,0.8736,0.880
1.076409,-0.0381,0.0293,0.8617,0.863
1.082982,-0.0614,-0.0366,0.7538,0.757
1.087076,-0.0370,-0.1072,0.6033,0.614
1.091813,-0.0271,-0.1349,0.4538,0.474
1.095990,-0.0172,-0.1719,0.3337,0.376
1.101918,0.0210,-0.2370,0.2142,0.320
1.106813,0.0637,-0.2158,0.1146,0.252
1.112547,0.0917,-0.1850,0.1202,0.239
1.116930,0.1100,-0.1258,0.1826,0.248
1.122758,0.0949,-0.0860,0.2633,0.293
1.126301,0.0657,-0.0372,0.3198,0.329
1.132091,0.0747,-0.0365,0.3805,0.389
1.136835,0.0647,0.0019,0.3599,0.366
1.141932,-0.0118,0.0633,0.3822,0.388
1.145623,0.0501,0.0663,0.4371,0.445
1.151149,0.1495,0.0450,0.4771,0.502
1.156042,0.2338,0.0092,0.5782,0.624
1.162195,0.3032,-0.0547,0.6499,0.719
1.165625,0.3434,-0.1084,0.6779,0.768
1.171533,0.3738,-0.1849,0.6676,0.787
1.175578,0.3660,-0.2318,0.6145,0.752
1.181938,0.3154,-0.2069,0.5429,0.661
1.185573,0.2320,-0.1585,0.4860,0.561
1.191096,0.1778,-0.1204,0.4201,0.472
1.196812,0.1478,-0.0736,0.3690,0.404
1.201905,0.1704,-0.0373,0.3750,0.414
1.205864,0.2069,-0.0447,0.3951,0.448
1.210860,0.2527,-0.0478,0.4007,0.476
1.216165,0.2981,-0.0892,0.4394,0.538
1.221678,0.3241,-0.0687,0.4634,0.570
1.226204,0.3024,-0.0722,0.4681,0.562
1.231075,0.2808,-0.0805,0.4442,0.532
1.236575,0.2595,-0.0889,0.3541,0.448
1.241960,0.2145,-0.1067,0.2696,0.361
1.246425,0.2127,-0.1431,0.1865,0.317
1.250848,0.1968,-0.1267,0.1475,0.277
1.256579,0.2000,-0.0625,0.1856,0.280
1.261553,0.1746,0.0349,0.2856,0.337
1.266996,0.1115,0.1032,0.4516,0.476
1.271461,0.0442,0.1234,0.6066,0.621
1.276148,-0.0368,0.1907,0.7457,0.771
1.281674,-0.1553,0.2475,0.8300,0.880
1.285822,-0.2443,0.3267,0.8691,0.960
1.291007,-0.3470,0.3328,0.8252,0.955
1.296040,-0.4014,0.3236,0.7421,0.904
1.301187,-0.4602,0.3324,0.6062,0.831
1.306479,-0.4853,0.3116,0.4232,0.715
1.311597,-0.4532,0.2333,0.2557,0.570
1.315663,-0.3929,0.1265,0.0995,0.425
1.321843,-0.2998,0.0156,0.0494,0.304
1.326581,-0.1505,-0.0993,0.0525,0.188
1.331382,-0.0166,-0.1753,0.1081,0.207
1.340257,0.1113,-0.2269,0.1920,0.317
1.341439,0.2525,-0.2684,0.2561,0.449
